نوع برنامج Googlebot,إجمالي نسبة الطلبات
نوع وكيل آخر,0.4394
الهاتف الذكي,0.2907
تحميل مصادر الصفحة,0.2042
سطح المكتب,0.0381
صورة,0.0277
