الاستجابة,إجمالي نسبة الطلبات
حسنًا (200),0.7024
لم يتم العثور عليها (404),0.1626
تم النقل نهائيًا (301),0.1003
robots.txt غير متوفّر,0.0208
لم يتم التعديل (304).,0.0104
تعذّر الوصول إلى الصفحة.,0.0035
